priority,keyword,note
1,이란 전쟁,기본 키워드
1,중동 확전,확전 프레임
1,이란 공습,군사 프레임
1,이스라엘 이란,양자 충돌 맥락
1,호르무즈 해협,경제·에너지 프레임
2,국제유가 중동 전쟁,경제·에너지 보완
2,한국 이란 전쟁 영향,국내 영향 보완
2,중동 전쟁 유가,경제 프레임 보완
2,이란 보복,군사·외교 보완
2,이란 미사일,군사 프레임 보완
2,중동 전쟁 LNG,에너지 프레임 보완
2,이란 핵시설,군사·외교 보완
2,이스라엘 공습 이란,군사 프레임 보완
