topic_id,topic_label,document_count,share_of_documents,top_terms,sample_title
1,topic_01,2743,0.3342676090665367,"드론, 미군, 레바논, 작전, 헤즈볼라, 테헤란, 기지, 타격, 이스라엘군, 이라크, 시설, 폭격","취재 중 기자 향해 미사일 '쾅'…러 ""언론인 표적 공격"" 주장 #소셜픽 / JTBC 아침&"
2,topic_02,1238,0.1508652205703144,"유가, 코스피, 달러, 증시, 환율, 투자, 국제유, 반도체, 시장, 코스닥, 상승, 경제","""유가 뛰면 미국은 큰돈 벌어"" 역풍 맞은 트럼프 궤변 / JTBC 뉴스룸"
0,topic_00,965,0.11759688033146479,"호르무즈, 해협, 호르무즈 해협, 선박, 봉쇄, 원유, 유조선, 해협 봉쇄, 석유, 유가, 통과, 오만","미 해병 2200명 태운 강습상륙함, 싱가포르 접근…호르무즈 이동 [이슈PLAY] / JTBC News"
3,topic_03,921,0.11223495003655862,"하메네, 모즈타바, 최고지도자, 사망, 모즈타바 하메네, 하메네 사망, 차남, 후계자, 선출, 하메네 차남, 부상, 알리","""피에는 피"" 모즈타바, 라리자니 암살에 보복 경고…잠행은 계속｜지금 이 쇼츠"
4,topic_04,915,0.11150377772361686,"일본, 파병, 중국, 군함, 파견, 호르무즈, 한국, 다카이치, 군함 파견, 압박, 정상회담, 요청","이란 ""일본과 해협 통행 협상 중""…이스라엘은 공습 본격화 / JTBC 뉴스룸"
6,topic_06,746,0.09090909090909091,"가스전, 카타르, 에너지, 시설, lng, 보복, 최대, 에너지 시설, 가스, 네타냐후, 최대 가스전, 폭격","""지도에서 지워버린다"" 살벌…미 해병대는 최대 속도 진격 [이슈PLAY] / JTBC News"
7,topic_07,431,0.05252254447964904,"천궁, ii, 천궁 ii, uae, 요격, 실전, 주한미군, 패트리엇, 아랍에미리트, 국산, 무기, 포대","경북 성주 기지 주한미군 '사드' 반출, CCTV 포착...중동으로 이동? [이슈PLAY] / JTBC News"
5,topic_05,247,0.030099926882768704,"기뢰, 호르무즈, 해협 기뢰, 해협, 설치, 기뢰 설치, 호르무즈 해협, 선박, 호르무즈 기뢰, 제거, 바다, 해군","미국 ""6000개 목표물 타격""…이란, 기뢰 깔고있을 가능성 / JTBC 뉴스룸"
